,importancia
items_por_pedido,0.20390742548147706
historial_pct_demora_vendedor,0.10638030046911533
distancia_km,0.08945949127115164
freight_value,0.07995770655470692
flete_ratio,0.07892530941736126
historial_pedidos_vendedor,0.07786924066744934
price,0.07279038369153988
volumen_cm3,0.06641715301107574
product_weight_g,0.060840771521051135
payment_installments_max,0.0401395254542096
region_sudeste_Sudeste,0.012413372911487256
payment_type_principal_credit_card,0.011051898876218448
product_category_name_english_bed_bath_table,0.0064605763715701
payment_type_principal_voucher,0.005026391933969167
product_category_name_english_furniture_decor,0.004647654248346565
